Date,Close,MarketCap,Year
2021-12-31,49433.578125,37906348110019.31,2021
2022-12-30,56481.05078125,43310447144245.45,2022
2023-12-29,62555.23046875,47968211733629.67,2023
2024-12-31,83460.375,63998564298601.5,2024
2025-12-31,110451.0,84695347047564.0,2025
